# PRIX PRE-PLAN-06 : 52x336 AGEFICE encore non corrigés — NE PAS corriger ici (territoire Plan 06). Triage = classer seulement.
classification,session,debut,fin,status,nb_part,nb_agefice,nb_sp336_PRE_PLAN06,nb_preinscr,produit,prod_titre,prod_prix_PRE_PLAN06,deja_reliquat_p07,motif
DOUBLON,SES-0013,2025-06-18,2025-06-25,CANCELLED,0,0,0,0,PROD-0043,Formation l'IA & l'humain : L'harmon,199,,session annulée
DOUBLON,SES-0014,2025-06-25,2025-06-25,CANCELLED,0,0,0,0,PROD-0043,Formation l'IA & l'humain : L'harmon,199,,session annulée
PREINSCRIPTION,SES-0096,2026-05-25,2026-05-25,DRAFT,1,0,1,0,FRM-0002,Claude d'anthropic pour les conseill,336,,brouillon (non confirmée)
PREINSCRIPTION,SES-0098,2026-06-03,2026-06-03,DRAFT,1,1,1,0,PROD-0059,Booster vendeur (8h),336,,brouillon (non confirmée)
PREINSCRIPTION,SES-0097,2026-06-10,2026-06-11,DRAFT,2,1,0,0,PROD-0066,L'intelligence artificielle au servi,672,,brouillon (non confirmée)
PREINSCRIPTION,SES-0094,2026-06-14,2026-06-24,DRAFT,3,0,0,0,PROD-0064,Maitriser l'intelligence artificiell,3024,,brouillon (non confirmée)
PREINSCRIPTION,SES-0095,2026-06-14,2026-06-15,DRAFT,1,0,0,0,PROD-0066,L'intelligence artificielle au servi,672,,brouillon (non confirmée)
PREINSCRIPTION,SES-0099,2026-06-29,2026-06-29,DRAFT,1,1,1,0,PROD-0059,Booster vendeur (8h),336,,brouillon (non confirmée)
REEL,SES-0003,2024-08-11,2024-08-22,COMPLETED,1,1,0,0,PROD-055,Maîtrise des techniques de vente imm,3000,,1 participant(s)
REEL,SES-0001,2024-08-11,2024-08-22,COMPLETED,1,1,0,0,PROD-0003,L’immobilier et sa prospection effic,3000,,1 participant(s)
REEL,SES-0002,2024-10-20,2024-10-31,COMPLETED,11,10,0,0,PROD-053,"Cycle complet de prospection, relati",3000,,11 participant(s)
REEL,SES-0005,2024-12-01,2024-12-15,COMPLETED,1,1,0,0,PROD-047,Formation complète en marketing digi,2978,,1 participant(s)
REEL,SES-0006,2025-05-05,2025-05-05,COMPLETED,12,12,12,0,PROD-0041,Cadastre Niveau 1 - Présentiel Colle,336,,12 participant(s)
REEL,SES-0011,2025-05-11,2025-05-22,COMPLETED,2,2,0,0,PROD-053,"Cycle complet de prospection, relati",3000,,2 participant(s)
REEL,SES-0009,2025-05-29,2025-05-29,COMPLETED,5,4,3,0,PROD-0041,Cadastre Niveau 1 - Présentiel Colle,336,,5 participant(s)
REEL,SES-0012,2025-06-09,2025-06-09,COMPLETED,5,5,1,0,PROD-0041,Cadastre Niveau 1 - Présentiel Colle,336,,5 participant(s)
REEL,SES-0015,2025-06-17,2025-06-17,COMPLETED,7,6,7,0,PROD-0041,Cadastre Niveau 1 - Présentiel Colle,336,,7 participant(s)
REEL,SES-0016,2025-06-19,2025-06-19,COMPLETED,6,6,6,0,PROD-0044,Vendez mieux avec l’IA,336,,6 participant(s)
REEL,SES-0010,2025-06-29,2025-07-09,COMPLETED,5,5,0,0,PROD-0042,L'intelligence artificielle au servi,3024,,5 participant(s)
REEL,SES-0022,2025-08-24,2025-09-03,COMPLETED,4,4,0,0,PROD-0064,Maitriser l'intelligence artificiell,3024,,4 participant(s)
REEL,SES-0023,2025-08-28,2025-08-28,COMPLETED,2,2,2,0,PROD-0062,"Non discrimination, Tracfin et déont",336,,2 participant(s)
