    code    | duree |  etat   | sessions | apprenants_uniques | inscriptions_totales | ca_total_eur |                            titre                             
------------+-------+---------+----------+--------------------+----------------------+--------------+--------------------------------------------------------------
 PROD-0066  | 16h   | ⚠ draft |       10 |                 54 |                   54 |        24544 | L'intelligence artificielle au service des conseillers immob
 PROD-0042  | 72h   | ⚠ draft |       11 |                 46 |                   46 |       115972 | L'intelligence artificielle au service des conseillers immob
 PROD-0662  | 35h   | ✓       |       18 |                 42 |                   48 |        30022 | Maîtriser l’Intelligence Artificielle pour développer son ac
 PROD-0041  | 8h    | ⚠ draft |        4 |                 29 |                   29 |         9226 | Cadastre Niveau 1 - Présentiel Collectif
 PROD-0062  | 8h    | ⚠ draft |        7 |                 17 |                   17 |         4800 | Non discrimination, Tracfin et déontologie
 PROD-0057  | 105h  | ✓       |        4 |                 16 |                   16 |        35420 | Intégrer l’intelligence artificielle pour gagner en producti
 PROD-0065  | 24h   | ⚠ draft |        6 |                 15 |                   15 |        13176 | Exploiter l’intelligence artificielle dans l’immobilier pour
 PROD-053   | 87h   | ✓       |        2 |                 13 |                   13 |        31167 | Cycle complet de prospection, relation client et négociation
 PROD-0058  | 8h    | ⚠ draft |        3 |                 10 |                   10 |         1920 | L'IA au service des conseillers immobiliers (8h)
 PROD-0063  | 40h   | ⚠ draft |        6 |                 10 |                   10 |        15840 | Intégrer l'Intelligence Artificielle dans son entreprise pou
 PROD-0064  | 72h   | ⚠ draft |        4 |                 10 |                   10 |        29756 | Maitriser l'intelligence artificielle pour booster la perfor
 PROD-0044  | 8h    | ✓       |        1 |                  6 |                    6 |         2016 | Vendez mieux avec l’IA
 PROD-0060  | 8h    | ✓       |        1 |                  6 |                    6 |         2016 | Cadastre Niveau 2 - Présentiel collectif
 PROD-0059  | 8h    | ⚠ draft |        2 |                  5 |                    5 |         1680 | Booster vendeur (8h)
 PROD-0061  | 77h   | ⚠ draft |        1 |                  3 |                    3 |         9240 | Intégrer l’intelligence artificielle pour gagner en producti
 FRM-0002   | 8h    | ⚠ draft |        1 |                  1 |                    1 |          336 | Claude d'anthropic pour les conseillers immobiliers
 PROD-0003  | 60h   | ⚠ draft |        1 |                  1 |                    1 |         3000 | L’immobilier et sa prospection efficace : Devenir incontourn
 PROD-00661 | 72h   | ⚠ draft |        1 |                  1 |                    1 |         3024 | Communication digitale & Stratégie  marketing pour activité 
 PROD-047   | 85h   | ⚠ draft |        1 |                  1 |                    1 |         2978 | Formation complète en marketing digital et IA stratégie glob
 PROD-055   | 60h   | ✓       |        1 |                  1 |                    1 |         3000 | Maîtrise des techniques de vente immobilière
 FRM-0001   | 8h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Exploiter La puissance de l'IA dans son activité immobilière
 PROD-0001  | 24h   | ⚠ draft |        0 |                  0 |                    0 |            0 | Maitriser Claude l'intelligence surpuissante d'anthropic pou
 PROD-0043  | 4h    | ⚠ draft |        2 |                  0 |                    0 |            0 | Formation l'IA & l'humain : L'harmonie dans l'immobilier
 PROD-0663  | 8h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Formation Claude anthropic pour les conseillers immo
 PROD-0664  | 0h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Cadastre Niveau 1 - Présentiel Collectif
 PROD-0666  | 0h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Cadastre Niveau 2 - Présentiel collectif
 PROD-0667  | 21h   | ⚠ draft |        0 |                  0 |                    0 |            0 | Anglais professionnel boosté par l’IA
 PROD-0668  | 0h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Optimisation des systèmes d’information avec l’IA
 PROD-0669  | 8h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Immobilier : gagnez 2h par jour grâce à l’IA
 PROD-0670  | 105h  | ⚠ draft |        0 |                  0 |                    0 |            0 | IA générative
 PROD-0671  | 4h    | ⚠ draft |        0 |                  0 |                    0 |            0 | Tracfin
 PROD-0672  | 16h   | ⚠ draft |        0 |                  0 |                    0 |            0 | IA appliquée pour agents immobiliers - 16h
(32 rows)

