PROD-0066|16h|bloom=1|10 sessions|54 apprenants|L'intelligence artificielle au service des conseillers immobiliers - 16h
PROD-0042|72h|bloom=0|11 sessions|46 apprenants|L'intelligence artificielle au service des conseillers immobiliers (72h)
PROD-0041|8h|bloom=1|4 sessions|29 apprenants|Cadastre Niveau 1 - Présentiel Collectif
PROD-0062|8h|bloom=1|7 sessions|17 apprenants|Non discrimination, Tracfin et déontologie
PROD-0065|24h|bloom=1|6 sessions|15 apprenants|Exploiter l’intelligence artificielle dans l’immobilier pour gagner en productivité - 24h
PROD-0058|8h|bloom=0|3 sessions|10 apprenants|L'IA au service des conseillers immobiliers (8h)
PROD-0063|40h|bloom=1|6 sessions|10 apprenants|Intégrer l'Intelligence Artificielle dans son entreprise pour  gagner en productivité - 40h
PROD-0064|72h|bloom=0|4 sessions|10 apprenants|Maitriser l'intelligence artificielle pour booster la performance commerciale - 72h
PROD-0059|8h|bloom=1|2 sessions|5 apprenants|Booster vendeur (8h)
PROD-0061|77h|bloom=0|1 sessions|3 apprenants|Intégrer l’intelligence artificielle pour gagner en productivité - 77h00
FRM-0002|8h|bloom=1|1 sessions|1 apprenants|Claude d'anthropic pour les conseillers immobiliers
PROD-0003|60h|bloom=2|1 sessions|1 apprenants|L’immobilier et sa prospection efficace : Devenir incontournable sur son secteur
PROD-00661|72h|bloom=1|1 sessions|1 apprenants|Communication digitale & Stratégie  marketing pour activité événementielle (72h)
PROD-047|85h|bloom=0|1 sessions|1 apprenants|Formation complète en marketing digital et IA stratégie globale, référencement, création de contenus et gestion de la relation client
FRM-0001|8h|bloom=2|0 sessions|0 apprenants|Exploiter La puissance de l'IA dans son activité immobilière
PROD-0001|24h|bloom=1|0 sessions|0 apprenants|Maitriser Claude l'intelligence surpuissante d'anthropic pour conseillers Immobilier
PROD-0043|4h|bloom=0|2 sessions|0 apprenants|Formation l'IA & l'humain : L'harmonie dans l'immobilier
PROD-0663|8h|bloom=0|0 sessions|0 apprenants|Formation Claude anthropic pour les conseillers immo
PROD-0664|0h|bloom=0|0 sessions|0 apprenants|Cadastre Niveau 1 - Présentiel Collectif
PROD-0666|0h|bloom=0|0 sessions|0 apprenants|Cadastre Niveau 2 - Présentiel collectif
PROD-0667|21h|bloom=0|0 sessions|0 apprenants|Anglais professionnel boosté par l’IA
PROD-0668|0h|bloom=0|0 sessions|0 apprenants|Optimisation des systèmes d’information avec l’IA
PROD-0669|8h|bloom=0|0 sessions|0 apprenants|Immobilier : gagnez 2h par jour grâce à l’IA
PROD-0670|105h|bloom=0|0 sessions|0 apprenants|IA générative
PROD-0671|4h|bloom=0|0 sessions|0 apprenants|Tracfin
PROD-0672|16h|bloom=2|0 sessions|0 apprenants|IA appliquée pour agents immobiliers - 16h
